date,brent_usd,all_monthly_index,flat_monthly_index,villa_monthly_index
2012-01-01,110.69,100.0,100.0,100.0
2012-02-01,119.33,99.4,99.3,101.4
2012-03-01,125.45,99.0,99.1,101.4
2012-04-01,119.75,98.7,98.7,103.1
2012-05-01,110.34,98.7,98.6,104.0
2012-06-01,95.16,99.0,98.8,104.89999999999999
2012-07-01,102.62,99.3,99.2,105.80000000000001
2012-08-01,113.36,98.5,98.4,106.5
2012-09-01,112.86,98.8,98.8,106.4
2012-10-01,111.71,99.6,99.7,105.80000000000001
2012-11-01,109.06,100.1,100.1,106.4
2012-12-01,109.49,100.49999999999999,100.4,106.60000000000001
2013-01-01,112.96,101.49999999999999,101.49999999999999,107.69999999999999
2013-02-01,116.05,102.69999999999999,102.8,108.60000000000001
2013-03-01,108.47,103.49999999999999,103.8,109.7
2013-04-01,102.25,104.5,105.0,109.3
2013-05-01,102.56,105.4,106.0,110.5
2013-06-01,102.92,106.60000000000001,107.3,111.80000000000001
2013-07-01,107.93,107.4,108.0,112.5
2013-08-01,111.28,108.80000000000001,109.7,114.1
2013-09-01,111.6,109.1,110.2,117.19999999999999
2013-10-01,109.08,110.00000000000001,111.3,119.5
2013-11-01,107.79,111.5,113.5,120.30000000000001
2013-12-01,110.76,111.60000000000001,114.7,121.7
2014-01-01,108.12,112.7,116.19999999999999,121.7
2014-02-01,108.9,113.99999999999999,117.5,122.30000000000001
2014-03-01,107.48,115.7,119.39999999999999,123.2
2014-04-01,107.76,117.5,121.0,125.8
2014-05-01,109.54,119.0,122.7,127.4
2014-06-01,111.8,121.30000000000001,125.0,129.0
2014-07-01,106.77,122.7,126.6,130.5
2014-08-01,101.61,123.70000000000002,127.8,131.29999999999998
2014-09-01,97.09,125.4,130.4,132.8
2014-10-01,87.43,126.2,131.5,135.5
2014-11-01,79.44,127.2,132.29999999999998,136.20000000000002
2014-12-01,62.34,128.7,133.5,137.0
2015-01-01,47.76,129.4,134.20000000000002,139.3
2015-02-01,58.1,129.7,134.5,138.6
2015-03-01,55.89,129.8,134.5,138.0
2015-04-01,59.52,130.1,134.60000000000002,137.7
2015-05-01,64.08,130.6,134.9,137.1
2015-06-01,61.48,129.7,134.0,135.8
2015-07-01,56.56,128.6,133.29999999999998,135.0
2015-08-01,46.52,128.1,132.9,133.0
2015-09-01,47.62,127.89999999999999,131.9,129.5
2015-10-01,48.43,127.3,130.9,128.8
2015-11-01,44.27,126.49999999999999,130.1,127.89999999999999
2015-12-01,38.01,125.69999999999999,128.8,125.6
2016-01-01,30.7,124.8,127.89999999999999,123.0
2016-02-01,32.18,123.9,126.8,124.9
2016-03-01,38.21,123.4,126.29999999999998,126.8
2016-04-01,41.58,122.39999999999999,125.6,127.49999999999999
2016-05-01,46.74,121.9,125.2,127.49999999999999
2016-06-01,48.25,122.0,125.29999999999998,128.6
2016-07-01,44.95,124.30000000000001,127.2,130.4
2016-08-01,45.84,125.2,127.60000000000001,134.4
2016-09-01,46.57,124.70000000000002,127.1,138.3
2016-10-01,49.52,125.49999999999999,127.89999999999999,138.1
2016-11-01,44.73,125.29999999999998,127.69999999999999,139.3
2016-12-01,53.31,126.6,129.1,141.3
2017-01-01,54.58,127.60000000000001,130.29999999999998,143.4
2017-02-01,54.87,128.5,132.0,142.9
2017-03-01,51.59,129.0,132.7,142.4
2017-04-01,52.31,129.4,133.20000000000002,141.1
2017-05-01,50.33,129.29999999999998,133.29999999999998,141.4
2017-06-01,46.37,128.8,133.0,140.9
2017-07-01,48.48,127.60000000000001,131.9,140.6
2017-08-01,51.7,127.2,131.7,139.6
2017-09-01,56.15,127.69999999999999,132.29999999999998,137.7
2017-10-01,57.51,127.2,132.20000000000002,135.7
2017-11-01,62.71,127.49999999999999,132.29999999999998,135.20000000000002
2017-12-01,64.37,126.8,131.6,134.20000000000002
2018-01-01,69.08,126.69999999999999,131.20000000000002,132.7
2018-02-01,65.32,126.1,130.29999999999998,131.6
2018-03-01,66.02,125.69999999999999,129.8,130.8
2018-04-01,72.11,125.8,129.8,131.20000000000002
2018-05-01,76.98,125.49999999999999,129.4,131.7
2018-06-01,74.41,125.4,129.20000000000002,132.4
2018-07-01,74.25,125.1,129.0,130.29999999999998
2018-08-01,72.53,124.30000000000001,128.29999999999998,127.69999999999999
2018-09-01,78.89,123.2,127.1,126.2
2018-10-01,81.03,122.39999999999999,126.1,125.4
2018-11-01,64.75,121.50000000000001,125.29999999999998,123.9
2018-12-01,57.36,120.9,124.6,122.2
2019-01-01,59.41,119.5,123.4,120.6
2019-02-01,63.96,118.39999999999999,122.2,119.6
2019-03-01,66.14,117.0,121.0,117.19999999999999
2019-04-01,71.23,115.3,119.39999999999999,114.8
2019-05-01,71.32,114.19999999999999,118.39999999999999,111.5
2019-06-01,64.22,113.79999999999998,118.10000000000001,109.4
2019-07-01,63.92,112.7,117.30000000000001,108.89999999999999
2019-08-01,59.04,112.3,116.9,108.4
2019-09-01,62.83,112.4,117.30000000000001,107.69999999999999
2019-10-01,59.71,111.9,117.19999999999999,106.60000000000001
2019-11-01,63.21,112.20000000000002,117.9,105.69999999999999
2019-12-01,67.31,111.4,117.5,105.89999999999999
2020-01-01,63.65,111.20000000000002,117.39999999999999,105.1
2020-02-01,55.66,110.4,116.7,104.3
2020-03-01,32.01,110.00000000000001,116.19999999999999,104.69999999999999
2020-04-01,18.38,111.5,118.19999999999999,105.0
2020-05-01,29.38,112.1,118.9,106.0
2020-06-01,40.27,111.3,117.9,104.0
2020-07-01,43.24,110.80000000000001,117.10000000000001,102.3
2020-08-01,44.74,110.5,116.8,101.2
2020-09-01,40.91,109.5,115.3,99.8
2020-10-01,40.19,109.2,114.3,99.1
2020-11-01,42.69,107.60000000000001,112.5,99.7
2020-12-01,49.99,107.5,112.4,100.0
2021-01-01,54.77,108.1,112.7,96.8
2021-02-01,62.28,108.3,112.5,97.0
2021-03-01,65.41,108.5,112.9,98.2
2021-04-01,64.81,107.2,109.7,99.2
2021-05-01,68.53,107.1,108.5,99.3
2021-06-01,73.16,107.0,108.80000000000001,101.29999999999998
2021-07-01,75.17,108.3,110.1,103.89999999999999
2021-08-01,70.75,109.60000000000001,111.60000000000001,107.2
2021-09-01,74.49,111.5,113.99999999999999,109.80000000000001
2021-10-01,83.54,113.19999999999999,115.99999999999999,112.99999999999999
2021-11-01,81.05,115.6,118.19999999999999,116.7
2021-12-01,74.17,117.9,120.7,119.30000000000001
2022-01-01,86.51,119.7,122.8,126.2
2022-02-01,97.13,122.2,125.89999999999999,128.4
2022-03-01,117.25,124.9,128.5,129.7
2022-04-01,104.58,127.3,133.1,131.8
2022-05-01,113.34,129.6,136.8,133.8
2022-06-01,122.71,132.29999999999998,139.3,134.7
2022-07-01,111.93,133.8,141.4,134.9
2022-08-01,100.45,134.8,142.79999999999998,134.3
2022-09-01,89.76,135.8,144.2,135.3
2022-10-01,93.33,137.1,145.9,135.5
2022-11-01,91.42,138.7,148.2,134.3
2022-12-01,80.92,139.6,149.5,134.0
2023-01-01,82.5,140.5,151.4,133.20000000000002
2023-02-01,82.59,141.5,152.8,135.8
2023-03-01,78.43,142.1,153.9,136.60000000000002
2023-04-01,84.64,143.0,154.8,137.4
2023-05-01,75.47,144.2,156.0,139.39999999999998
2023-06-01,74.84,146.6,159.1,141.3
2023-07-01,80.11,148.6,161.20000000000002,145.70000000000002
2023-08-01,86.15,150.4,164.1,150.8
2023-09-01,93.72,152.6,166.5,153.9
2023-10-01,90.6,154.4,168.6,155.9
2023-11-01,82.94,155.4,169.3,159.20000000000002
2023-12-01,77.63,157.7,171.70000000000002,161.7
2024-01-01,80.12,159.20000000000002,173.0,165.2
2024-02-01,83.48,161.1,176.0,165.79999999999998
2024-03-01,85.41,163.3,179.0,170.1
