"first_date_of_month","all_monthly_index","all_quarterly_index","all_yearly_index","flat_monthly_index","flat_quarterly_index","flat_yearly_index","villa_monthly_index","villa_quarterly_index","villa_yearly_index","all_monthly_price_index","all_quarterly_price_index","all_yearly_price_index","flat_monthly_price_index","flat_quarterly_price_index","flat_yearly_price_index","villa_monthly_price_index","villa_quarterly_price_index","villa_yearly_price_index","load_timestamp"
"2022-08-01","1.348",,,"1.428",,,"1.343",,,"1311363.000",,,"1229309.000",,,"2158215.000",,,"2025-11-19 11:56:34.000"
"2023-02-01","1.415",,,"1.528",,,"1.358",,,"1351860.000",,,"1302648.000",,,"2262204.000",,,"2025-11-19 11:56:34.000"
"2022-10-01","1.371",,,"1.459",,,"1.355",,,"1327833.000",,,"1256068.000",,,"2190569.000",,,"2025-11-19 11:56:34.000"
"2023-10-01","1.544",,,"1.686",,,"1.559",,,"1438846.000",,,"1411717.000",,,"2615245.000",,,"2025-11-19 11:56:34.000"
"2012-12-01","1.005","1.005","1.000","1.004","1.004","1.000","1.066","1.069","1.000","963721.000","961430.000","998200.000","933675.000","927742.000","969043.000","1805043.000","1807412.000","1682011.000","2025-11-19 11:56:34.000"
"2020-03-01","1.100","1.144",,"1.162","1.206",,"1.047","0.991",,"1058540.000","1070970.000",,"1010972.000","1026641.000",,"1625643.000","1633233.000",,"2025-11-19 11:56:34.000"
"2011-12-01","1.009","1.012",,"1.009","1.016",,"0.991","0.987",,"973850.000","985875.000",,"947349.000","960267.000",,"1592240.000","1597439.000",,"2025-11-19 11:56:34.000"
"2020-01-01","1.112",,,"1.174",,,"1.051",,,"1072003.000",,,"1024430.000",,,"1635573.000",,,"2025-11-19 11:56:34.000"
"2016-07-01","1.243",,,"1.272",,,"1.304",,,"1154627.000",,,"1104394.000",,,"2049007.000",,,"2025-11-19 11:56:34.000"
"2022-11-01","1.387",,,"1.482",,,"1.343",,,"1334010.000",,,"1268624.000",,,"2189580.000",,,"2025-11-19 11:56:34.000"
"2014-05-01","1.190",,,"1.227",,,"1.274",,,"1120459.000",,,"1088069.000",,,"2106819.000",,,"2025-11-19 11:56:34.000"
"2018-07-01","1.251",,,"1.290",,,"1.303",,,"1156371.000",,,"1109243.000",,,"2170751.000",,,"2025-11-19 11:56:34.000"
"2013-01-01","1.015",,,"1.015",,,"1.077",,,"972966.000",,,"942268.000",,,"1824146.000",,,"2025-11-19 11:56:34.000"
"2019-03-01","1.170","1.231",,"1.210","1.273",,"1.172","1.153",,"1095413.000","1116906.000",,"1044134.000","1067265.000",,"1921155.000","1977088.000",,"2025-11-19 11:56:34.000"
"2019-08-01","1.123",,,"1.169",,,"1.084",,,"1057024.000",,,"1009739.000",,,"1717184.000",,,"2025-11-19 11:56:34.000"
"2012-03-01","0.990","1.000",,"0.991","1.000",,"1.014","1.000",,"946412.000","962784.000",,"917718.000","934524.000",,"1669338.000","1646567.000",,"2025-11-19 11:56:34.000"
"2015-04-01","1.301",,,"1.346",,,"1.377",,,"1215874.000",,,"1174360.000",,,"2170470.000",,,"2025-11-19 11:56:34.000"
"2019-10-01","1.119",,,"1.172",,,"1.066",,,"1065665.000",,,"1016661.000",,,"1674011.000",,,"2025-11-19 11:56:34.000"
"2023-04-01","1.430",,,"1.548",,,"1.374",,,"1356728.000",,,"1316305.000",,,"2321334.000",,,"2025-11-19 11:56:34.000"
"2011-05-01","1.014",,,"1.028",,,"1.000",,,"999286.000",,,"980075.000",,,"1561449.000",,,"2025-11-19 11:56:34.000"
"2011-08-01","1.014",,,"1.025",,,"0.957",,,"1000761.000",,,"980719.000",,,"1507301.000",,,"2025-11-19 11:56:34.000"
"2019-06-01","1.138","1.204",,"1.181","1.247",,"1.094","1.104",,"1068489.000","1102725.000",,"1020375.000","1052747.000",,"1759829.000","1868055.000",,"2025-11-19 11:56:34.000"
"2012-06-01","0.990","0.988",,"0.988","0.988",,"1.049","1.023",,"946977.000","951746.000",,"916017.000","921075.000",,"1750479.000","1708380.000",,"2025-11-19 11:56:34.000"
"2022-09-01","1.358","1.383",,"1.442","1.444",,"1.353","1.276",,"1316024.000","1315810.000",,"1240859.000","1232605.000",,"2176692.000","2134295.000",,"2025-11-19 11:56:34.000"
"2017-05-01","1.293",,,"1.333",,,"1.414",,,"1238185.000",,,"1181589.000",,,"2259140.000",,,"2025-11-19 11:56:34.000"
"2013-06-01","1.066","1.051",,"1.073","1.056",,"1.118","1.093",,"1006447.000","1004178.000",,"977913.000","972678.000",,"1919190.000","1881171.000",,"2025-11-19 11:56:34.000"
"2013-11-01","1.115",,,"1.135",,,"1.203",,,"1045494.000",,,"1019361.000",,,"2052331.000",,,"2025-11-19 11:56:34.000"
"2022-02-01","1.222",,,"1.259",,,"1.284",,,"1189791.000",,,"1075996.000",,,"2093251.000",,,"2025-11-19 11:56:34.000"
"2016-09-01","1.247","1.278",,"1.271","1.304",,"1.383","1.270",,"1157869.000","1177665.000",,"1103954.000","1122430.000",,"2203310.000","2122248.000",,"2025-11-19 11:56:34.000"
"2018-03-01","1.257","1.303",,"1.298","1.349",,"1.308","1.261",,"1160271.000","1193481.000",,"1113353.000","1142905.000",,"2146804.000","2148961.000",,"2025-11-19 11:56:34.000"
